cell_rank,dpt
346,1.1942827376283414
347,1.1954732263383372
348,1.1972742645291683
349,1.1977061145097252
350,1.1978000191644684
351,1.197823150686168
352,1.1980978695475184
353,1.1981450512981509
354,1.1991246844041723
355,1.1993903814965137
356,1.1997276788346332
357,1.2003856802609014
358,1.2016750427120595
359,1.201940219436783
360,1.2029523330532514
361,1.204237672620396
362,1.2043534350395715
363,1.2048901499013096
364,1.205302123002222
365,1.206819957676367
366,1.2073560201483806
367,1.2093795707777308
368,1.209699456651329
369,1.210658847964121
370,1.2112113874752393
371,1.2117718840851015
372,1.2121438868622076
373,1.212178633163951
374,1.2122768094817749
375,1.2123202891466156
376,1.212964262880766
377,1.2136319694938171
378,1.2141789192641674
379,1.2142681485023576
380,1.2151927572644114
381,1.2152196641974116
382,1.2156056805400102
383,1.2156732565230277
384,1.215709926151297
385,1.2157646502712638
386,1.216247605473268
387,1.2169791124428473
388,1.2184246162601906
389,1.2195077589092274
390,1.219534868827405
391,1.2196651047140812
392,1.220200166100782
393,1.2202045710011258
394,1.220986671505572
395,1.221547812403048
396,1.2216636447457043
397,1.2216688837854441
398,1.2225887982173718
399,1.222677009766069
400,1.222869272793906
401,1.2236236840773738
402,1.2249141507483803
403,1.2249193145744448
404,1.2289881365167434
405,1.2291366339030765
406,1.2291649631652963
407,1.2292832673941425
408,1.2294372445728765
409,1.229522046754357
410,1.229548640479327
411,1.2297308326923213
412,1.230451090769236
413,1.2314308483059317
414,1.2325955721353663
415,1.2338053477851925
416,1.2349168889273725
417,1.2361796498409552
418,1.2365118141300335
419,1.2366025125101014
420,1.2372562070015174
421,1.2377876502789034
422,1.237903162578545
423,1.2381746963815785
424,1.2387128119028608
425,1.2390440176593929
426,1.2408173749038611
427,1.2409068233886997
428,1.2410180465962315
429,1.2411443983137767
430,1.2414162696522735
431,1.2422669357899179
432,1.2430880417513608
433,1.2439711371187983
434,1.2444565514095174
435,1.2446859390520413
436,1.2449913330017939
437,1.2452143126982025
438,1.2457116376971666
439,1.245862488820527
440,1.2459551900721733
441,1.2462034691765784
442,1.2462409745235272
443,1.2469059796837993
444,1.2470234773826632
445,1.2481159804871846
446,1.248172397648162
447,1.248504803452786
448,1.2490840547742394
449,1.2500849250275508
450,1.2510661832902903
451,1.2521930349924637
452,1.2528505536411902
453,1.253479768254206
454,1.2542316475486457
455,1.2547487535652604
456,1.2565029719282397
457,1.2587392521192866
458,1.2592869634069017
459,1.2593762671346573
460,1.2597708593489767
461,1.260009883683272
462,1.2645493465765159
463,1.2649034956835281
464,1.2655220258050612
465,1.2655307873040835
466,1.2661664339901388
467,1.2666198958488817
468,1.2671762402001334
469,1.2672786177945283
470,1.2675882702851282
471,1.2676141581755103
472,1.2681270628142276
473,1.269114399225134
474,1.2692705267796858
475,1.269835781210018
476,1.2703315727446982
477,1.2724254730363715
478,1.2727690564926624
479,1.2729954196028748
480,1.2737167814859713
481,1.2742829500994413
482,1.2742916483815734
483,1.275536486139187
484,1.276420560079742
485,1.2787987779144223
486,1.2791046532936394
487,1.2795326390065054
488,1.2799273951657033
489,1.2802171806903542
490,1.2805887931284134
491,1.2808486095867335
492,1.2844721553852176
493,1.2848053135994912
494,1.285748834039807
495,1.2867239114328677
496,1.2876358867216235
497,1.288144636430427
498,1.2903028861157146
499,1.2903681188083815
500,1.2909068808358417
501,1.2911530627618248
502,1.2913107711982188
503,1.2914905201222031
504,1.2927836395240457
505,1.2930153918975855
506,1.2938442204541887
507,1.2939098091941883
508,1.2955731703547573
509,1.2957369568695547
510,1.296470573591373
511,1.2978005925800566
512,1.2983677403672995
513,1.2986884609825913
514,1.2990950478805985
515,1.3005409001050519
516,1.3006639410072367
517,1.3007351512914784
518,1.300842241658021
519,1.3013783783262731
520,1.3014280420642292
521,1.301916340547466
522,1.3019998418223795
523,1.3024108776954895
524,1.3025697192802081
525,1.3031196421086766
526,1.3031756078029715
527,1.3034975017249084
528,1.304240990385762
529,1.3046001751944747
530,1.3051514896396936
531,1.3057269878775246
532,1.3060073156063279
533,1.3064727719147609
534,1.3069789487714731
535,1.3080985762221466
536,1.308681079213964
537,1.3088461859713607
538,1.309979656299968
539,1.3100040778001347
540,1.3104434406020906
541,1.3108028168475487
542,1.3115640574500738
543,1.3125085172484687
544,1.3136193004093901
545,1.3140021638222763
546,1.3141013343936723
547,1.3154091916005928
548,1.3174559774707872
549,1.3175046990303076
550,1.3177424439899943
551,1.3177871065500255
552,1.3179209269665084
553,1.3182167193706658
554,1.3206777784875288
555,1.3209974484816247
556,1.321076831864879
557,1.3215318445786945
558,1.3215864493856204
559,1.322361787891031
560,1.322412494723389
561,1.323015359739213
562,1.3248085209736005
563,1.325130600080759
564,1.3256521073058458
565,1.3258323977247812
566,1.3258840448315137
567,1.3261312105853558
568,1.3262504584369568
569,1.3266162856297898
570,1.326772736228809
571,1.3275416965691953
572,1.328731848079368
573,1.3289989777396753
574,1.3290659993594947
575,1.3295053191253834
576,1.3304816116882097
577,1.3320143528461201
578,1.3326867970063125
579,1.3342576925451028
580,1.3361909872872897
581,1.336462825351854
582,1.3372285307894984
583,1.3375124769736846
584,1.337778081937575
585,1.3380552801831314
586,1.3406950871170478
587,1.3417141876553094
588,1.3424864689515772
589,1.3427425089096738
590,1.343850527367494
591,1.3451982764463006
592,1.34588210030342
593,1.345904975241716
594,1.3464060769636281
595,1.3467668783122806
596,1.3470750055685259
597,1.3473649603625
598,1.3474993509373892
599,1.3505354716774578
600,1.351608509492307
601,1.3516298219666665
602,1.3516850566802647
603,1.3517928864968511
604,1.3519978813149534
605,1.3525923200544656
606,1.3527631023734787
607,1.3529719368754942
608,1.3549569340060903
609,1.3553312684000403
610,1.3585667230658716
611,1.3589261868299138
612,1.3595351068449937
613,1.3607486389421806
614,1.3619346318634267
615,1.3620389110060231
616,1.3627031509579348
617,1.3629112426879868
618,1.363539979835372
619,1.3635771436820663
620,1.3639627524192162
621,1.3642243035754964
622,1.3643924336527078
623,1.3648869621874329
624,1.365623365721527
625,1.3657684115476139
626,1.3673358005479472
627,1.3674669313726522
628,1.3675055128853797
629,1.3676453938530357
630,1.3681743202630383
631,1.3688712402819592
632,1.3693169050448215
633,1.3699754098004324
634,1.3700218727275326
635,1.3702933681636231
636,1.370888902220707
637,1.3716304037545068
638,1.3722806650226178
639,1.3722925460570825
640,1.3722930599247405
641,1.3725658114731156
642,1.373217676578155
643,1.3735119228043124
644,1.3742987833689948
645,1.3755836648937367
646,1.3758186536960553
647,1.376273729669861
648,1.3777034157929522
649,1.3781723265821058
650,1.3798944673034519
651,1.3804308766105355
652,1.3805617182257068
653,1.3805857011652025
654,1.381440455141898
655,1.3816272412291917
656,1.3833750387412245
657,1.3837596252888997
658,1.3841915678683918
659,1.3846406784792002
660,1.3852792653222763
661,1.3860377706024813
662,1.387079396573929
663,1.3886585720017062
664,1.3893761793212924
665,1.3902406179261393
666,1.391166354403234
667,1.3911797207645535
668,1.3931922850448955
669,1.3951231029977784
670,1.3959979047459685
671,1.3964800541100488
672,1.3966588154391428
673,1.396992701176426
674,1.3975621993917475
675,1.3980728943902954
676,1.3989849576763755
677,1.3989965212699718
678,1.3995193368041343
679,1.399953962588989
680,1.401536147181501
681,1.4016170198952982
682,1.4021815246423477
683,1.4023525479318684
684,1.404438298269589
685,1.4050794015167525
686,1.4064683614369338
687,1.406613974295158
688,1.406908623455934
689,1.4076241028589436
690,1.4076469231687188
691,1.4079061339430725
692,1.4080188477452504
693,1.4082301031610682
694,1.408252159159506
695,1.4099886137269724
696,1.4101414507962804
697,1.4103840907063114
698,1.411178171515238
699,1.413734939193658
700,1.4143796676753033
701,1.4144260515723055
702,1.4165126004618072
703,1.417250313777324
704,1.4183595486473044
705,1.4190251896725867
706,1.4191703033898073
707,1.4203751389497432
708,1.4204224448825826
709,1.4205031982365834
710,1.4206097903623733
711,1.4207321323595097
712,1.4229918778599
713,1.4235670988496032
714,1.4236365668292303
715,1.4237801657301068
716,1.4242785106782097
717,1.4249274076423577
718,1.425369769658849
719,1.425875503821621
720,1.4259473931899376
721,1.4274031981651496
722,1.4275322546727156
